player,fname,lname,posd,start,cteam,comb_player
AA-0025,Ameer,Abdullah,RB,2015,DET,Ameer Abdullah
AA-0050,Aaron,Adams,INA,2013,INA,Aaron Adams
AA-0075,Andrew,Adams,FS,2016,NYG,Andrew Adams
AA-0100,Anthony,Adams,INA,2003,INA,Anthony Adams
AA-0200,Al,Afalava,INA,2009,INA,Al Afalava
AA-0300,Anthony,Alabi,INA,2006,INA,Anthony Alabi
AA-0400,Alex,Albright,INA,2011,INA,Alex Albright
AA-0500,Allen,Aldridge,INA,1994,INA,Allen Aldridge
AA-0525,Alvester,Alexander,INA,2012,INA,Alvester Alexander
AA-0543,Adrian,Amos,FS,2015,CHI,Adrian Amos
AA-0562,Arik,Armstead,LDT,2015,SF,Arik Armstead
AA-0600,Abdul-Karim,al-Jabbar,INA,1996,INA,Abdul-Karim al-Jabbar
AA-0700,Andy,Alleman,INA,2008,INA,Andy Alleman
AA-0800,Anthony,Allen,INA,2011,INA,Anthony Allen
AA-0850,Antonio,Allen,FS,2012,NYJ,Antonio Allen
AA-0900,Armando,Allen,INA,2011,INA,Armando Allen
AA-1000,Asher,Allen,INA,2009,INA,Asher Allen
AA-1100,Aundrae,Allison,INA,2007,INA,Aundrae Allison
AA-1200,Ashley,Ambrose,INA,1992,INA,Ashley Ambrose
AA-1300,Andre',Anderson,INA,2010,INA,Andre' Anderson
AA-1350,Antonio,Andrews,RB,2014,TEN,Antonio Andrews
AA-1400,Antwan,Applewhite,INA,2008,INA,Antwan Applewhite
AA-1500,Adam,Archuleta,INA,2001,INA,Adam Archuleta
AA-1550,Armond,Armstead,INA,2012,INA,Armond Armstead
AA-1600,Anthony,Armstrong,INA,2010,INA,Anthony Armstrong
AA-1700,Adrian,Arrington,INA,2010,INA,Adrian Arrington
AA-1800,Adrian,Awasom,INA,2005,INA,Adrian Awasom
AA-1900,Akeem,Ayers,OLB,2011,IND,Akeem Ayers
AA-2000,Akin,Ayodele,INA,2002,INA,Akin Ayodele
AB-0100,Allen,Bailey,RDE,2011,KC,Allen Bailey
AB-0120,Alvin,Bailey,RG,2013,CLE,Alvin Bailey
AB-0160,Alex,Balducci,C,2016,SF,Alex Balducci
AB-0200,Alan,Ball,INA,2007,INA,Alan Ball
AB-0300,Antonio,Banks,INA,1998,INA,Antonio Banks
AB-0400,Alex,Bannister,INA,2001,INA,Alex Bannister
AB-0500,Allen,Barbre,LG,2007,PHI,Allen Barbre
AB-0550,Adairius,Barnes,RCB,2016,DET,Adairius Barnes
AB-0600,Antwan,Barnes,INA,2007,INA,Antwan Barnes
AB-0650,Anthony,Barr,SLB,2014,MIN,Anthony Barr
AB-0700,Alex,Barron,INA,2005,INA,Alex Barron
AB-0800,Arnaz,Battle,INA,2003,INA,Arnaz Battle
AB-0900,Ainsley,Battles,INA,2000,INA,Ainsley Battles
AB-0950,Alan,Baxter,INA,2013,INA,Alan Baxter
AB-0975,Alex,Bayer,INA,2014,INA,Alex Bayer
AB-1000,Aaron,Beasley,INA,1996,INA,Aaron Beasley
AB-1100,Anthony,Becht,INA,2000,INA,Anthony Becht
AB-1150,Adrian,Bellard,INA,2016,INA,Adrian Bellard
AB-1200,Arrelious,Benn,LWR,2010,JAC,Arrelious Benn
AB-1300,Adam,Bergen,INA,2005,INA,Adam Bergen
AB-1400,Aaron,Berry,INA,2010,INA,Aaron Berry
