player,fname,lname,posd,start,cteam,comb_player
AA-0025,Ameer,Abdullah,RB,2015,DET,"Ameer Abdullah, DET RB"
AA-0075,Andrew,Adams,FS,2016,NYG,"Andrew Adams, NYG FS"
AA-0543,Adrian,Amos,FS,2015,CHI,"Adrian Amos, CHI FS"
AA-0562,Arik,Armstead,LDT,2015,SF,"Arik Armstead, SF LDT"
AA-0850,Antonio,Allen,FS,2012,NYJ,"Antonio Allen, NYJ FS"
AA-1350,Antonio,Andrews,RB,2014,TEN,"Antonio Andrews, TEN RB"
AA-1900,Akeem,Ayers,OLB,2011,IND,"Akeem Ayers, IND OLB"
AB-0100,Allen,Bailey,RDE,2011,KC,"Allen Bailey, KC RDE"
AB-0120,Alvin,Bailey,RG,2013,CLE,"Alvin Bailey, CLE RG"
AB-0160,Alex,Balducci,C,2016,SF,"Alex Balducci, SF C"
AB-0500,Allen,Barbre,LG,2007,PHI,"Allen Barbre, PHI LG"
AB-0550,Adairius,Barnes,RCB,2016,DET,"Adairius Barnes, DET RCB"
AB-0650,Anthony,Barr,SLB,2014,MIN,"Anthony Barr, MIN SLB"
AB-1200,Arrelious,Benn,LWR,2010,JAC,"Arrelious Benn, JAC LWR"
AB-1500,Antoine,Bethea,SS,2006,SF,"Antoine Bethea, SF SS"
AB-1650,Andrew,Billings,NT,2016,CIN,"Andrew Billings, CIN NT"
AB-1925,Angelo,Blackson,LDE,2015,TEN,"Angelo Blackson, TEN LDE"
AB-1950,Antwon,Blake,LCB,2012,TEN,"Antwon Blake, TEN LCB"
AB-1962,Akil,Blount,LOLB,2016,PIT,"Akil Blount, PIT LOLB"
AB-1975,Alfred,Blue,RB,2014,HOU,"Alfred Blue, HOU RB"
AB-1987,Austin,Blythe,C,2016,IND,"Austin Blythe, IND C"
AB-2000,Anquan,Boldin,SWR,2003,DET,"Anquan Boldin, DET SWR"
AB-2075,Andrew,Bonnet,FB,2016,PHI,"Andrew Bonnet, PHI FB"
AB-2100,Alex,Boone,LG,2009,MIN,"Alex Boone, MIN LG"
AB-2250,A.J.,Bouye,RCB,2013,HOU,"A.J. Bouye, HOU RCB"
AB-2700,Alan,Branch,DT,2007,NE,"Alan Branch, NE DT"
AB-2730,Andre,Branch,LDE,2012,MIA,"Andre Branch, MIA LDE"
AB-2760,Aaron,Brewer,LS,2012,ARI,"Aaron Brewer, ARI LS"
AB-3100,Ahmad,Brooks,LOLB,2006,SF,"Ahmad Brooks, SF LOLB"
AB-3450,Anthony,Brown,RCB,2016,DAL,"Anthony Brown, DAL RCB"
AB-3500,Antonio,Brown,LWR,2010,PIT,"Antonio Brown, PIT LWR"
AB-3850,Armonty,Bryant,LDE,2013,DET,"Armonty Bryant, DET LDE"
AB-3862,Aaron,Burbridge,LWR,2016,SF,"Aaron Burbridge, SF LWR"
AB-3875,Artie,Burns,LCB,2016,PIT,"Artie Burns, PIT LCB"
AC-0250,A.J.,Cann,RG,2015,JAC,"A.J. Cann, JAC RG"
AC-0650,Alex,Carter,LCB,2015,DET,"Alex Carter, DET LCB"
AC-1200,Anthony,Castonzo,LT,2011,IND,"Anthony Castonzo, IND LT"
AC-1350,Anthony,Chickillo,LOLB,2015,PIT,"Anthony Chickillo, PIT LOLB"
AC-1500,Adrian,Clayborn,LDE,2011,ATL,"Adrian Clayborn, ATL LDE"
AC-1650,Asante,Cleveland,TE,2014,SD,"Asante Cleveland, SD TE"
AC-1850,Audie,Cole,MLB,2012,MIN,"Audie Cole, MIN MLB"
AC-2150,Alex,Collins,RB,2016,SEA,"Alex Collins, SEA RB"
AC-2250,Aaron,Colvin,RCB,2014,JAC,"Aaron Colvin, JAC RCB"
AC-2350,Amari,Cooper,RWR,2015,OAK,"Amari Cooper, OAK RWR"
AC-2450,Alan,Cross,FB,2016,TB,"Alan Cross, TB FB"
AD-0050,Anthony,Dable,RWR,2016,ATL,"Anthony Dable, ATL RWR"
AD-0100,Andy,Dalton,QB,2011,CIN,"Andy Dalton, CIN QB"
AD-0285,Akeem,Davis,FS,2014,JAC,"Akeem Davis, JAC FS"
AD-0850,Anthony,Denham,TE,2014,PHI,"Anthony Denham, PHI TE"
AD-1100,Akeem,Dent,LILB,2011,HOU,"Akeem Dent, HOU LILB"
AD-1150,Andrew,DePaola,LS,2012,TB,"Andrew DePaola, TB LS"
AD-1175,A.J.,Derby,TE,2015,DEN,"A.J. Derby, DEN TE"
AD-1450,Aaron,Dobson,RWR,2013,ARI,"Aaron Dobson, ARI RWR"
AD-1475,Aaron,Donald,LDT,2014,LA,"Aaron Donald, LA LDT"
AD-1487,Andrew,Donnal,RG,2015,LA,"Andrew Donnal, LA RG"
AE-0750,Andre,Ellington,RB,2013,ARI,"Andre Ellington, ARI RB"
AE-0775,Alex,Ellis,TE,2016,JAC,"Alex Ellis, JAC TE"
AE-1037,Alex,Erickson,RWR,2016,CIN,"Alex Erickson, CIN RWR"
AE-1100,Antone,Exum,FS,2014,MIN,"Antone Exum, MIN FS"
AF-0050,Anthony,Fabiano,C,2016,CLE,"Anthony Fabiano, CLE C"
AF-0200,Anthony,Fasano,TE,2006,TEN,"Anthony Fasano, TEN TE"
AF-0950,A.J.,Francis,RDE,2013,WAS,"A.J. Francis, WAS RDE"
AF-1150,Andrew,Franks,PK,2015,MIA,"Andrew Franks, MIA PK"
AF-1500,Alani,Fua,WLB,2015,ARI,"Alani Fua, ARI WLB"
AG-0100,Andrew,Gachkar,SLB,2011,DAL,"Andrew Gachkar, DAL SLB"
AG-0200,Anthony,Gaitor,DB,2011,NO,"Anthony Gaitor, NO DB"
AG-0400,Andrew,Gardner,LG,2009,SF,"Andrew Gardner, SF LG"
AG-0500,Antonio,Gates,TE,2003,SD,"Antonio Gates, SD TE"
AG-0650,Adam,Gettis,LG,2012,NYG,"Adam Gettis, NYG LG"
AG-0775,Adarius,Glanton,WLB,2014,TB,"Adarius Glanton, TB WLB"
AG-1150,Antwan,Goodley,RWR,2015,GB,"Antwan Goodley, GB RWR"
AG-1350,Adam,Gotsis,RDE,2016,DEN,"Adam Gotsis, DEN RDE"
AG-1500,A.J.,Green,LWR,2011,CIN,"A.J. Green, CIN LWR"
AG-1550,Aaron,Green,RB,2016,LA,"Aaron Green, LA RB"
AG-1850,Aaron,Grymes,LCB,2016,PHI,"Aaron Grymes, PHI LCB"
AH-0250,Andre,Hal,FS,2014,HOU,"Andre Hal, HOU FS"
AH-0762,Antonio,Hamilton,LCB,2016,OAK,"Antonio Hamilton, OAK LCB"
AH-1300,Anthony,Harris,FS,2015,MIN,"Anthony Harris, MIN FS"
AH-1900,Andrew,Hawkins,LWR,2011,CLE,"Andrew Hawkins, CLE LWR"
AH-2550,A.J.,Hendy,SS,2016,MIA,"A.J. Hendy, MIA SS"
AH-3050,Akiem,Hicks,DE,2012,CHI,"Akiem Hicks, CHI DE"
AH-3350,Anthony,Hitchens,MLB,2014,DAL,"Anthony Hitchens, DAL MLB"
AH-3600,Andre,Holmes,RWR,2011,OAK,"Andre Holmes, OAK RWR"
AH-3650,Austin,Hooper,TE,2016,ATL,"Austin Hooper, ATL TE"
AH-3700,Austin,Howard,RT,2010,OAK,"Austin Howard, OAK RT"
AH-3862,Adam,Humphries,LWR,2015,TB,"Adam Humphries, TB LWR"
AH-3875,Akeem,Hunt,RB,2015,HOU,"Akeem Hunt, HOU RB"
